,ISOCode,Country.Name,Uncertainty.Bounds*,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
85,CPV,Cabo Verde,Median,"5,7612","5,6764","5,5863","5,4918","5,3908","5,2786","5,1556","5,025","4,8902","4,7465","4,5977","4,4513","4,3014","4,1534","4,0027","3,8523","3,6986","3,5413","3,3801","3,2181","3,0589","2,9036","2,7533","2,6083","2,4705","2,3397","2,2173","2,1066","2,0086","1,9276"
88,KHM,Cambodia,Median,"32,1363","30,468","28,9192","27,4195","25,9644","24,5494","23,1298","21,7318","20,3722","19,0313","17,7317","16,4611","15,2779","14,1356","13,0694","12,068","11,1337","10,2798","9,4874","8,7467","8,0764","7,4509","6,8965","6,4247","6,0361","5,7084","5,4366","5,1952","4,9962","4,8091"
91,CMR,Cameroon,Median,"32,3102","32,1333","31,9443","31,7618","31,5695","31,3731","31,1803","30,9799","30,7516","30,507","30,2529","29,9632","29,6656","29,325","28,9923","28,6295","28,2487","27,8796","27,5147","27,1137","26,6959","26,2521","25,8096","25,3595","24,894","24,4448","24,0288","23,6097","23,157","22,6384"
94,CAN,Canada,Median,"2,1058","2,0221","1,9396","1,8648","1,8002","1,7438","1,6901","1,6301","1,5621","1,4913","1,4216","1,3582","1,3037","1,2599","1,2293","1,2101","1,1931","1,1677","1,1307","1,0921","1,0624","1,0509","1,0555","1,0739","1,0875","1,0711","1,0289","0,981","0,9359","0,9"
97,CAF,Central African Republic,Median,"29,5072","28,6046","27,8458","27,1305","26,4629","25,8509","25,2716","24,6974","24,1766","23,6574","23,1838","22,7498","22,3215","21,8887","21,4316","20,8968","20,3737","19,8635","19,3247","18,8212","18,2858","17,7496","17,2759","16,778","16,287","15,8204","15,3397","14,9391","14,5399","14,1581"
100,TCD,Chad,Median,"49,2036","47,942","46,7168","45,5246","44,4137","43,376","42,3682","41,3969","40,5057","39,6201","38,8179","37,9751","37,1836","36,4205","35,6923","34,9601","34,2651","33,5553","32,8952","32,2131","31,555","30,923","30,3283","29,7252","29,115","28,4823","27,7863","27,0612","26,3682","25,6875"
103,CHL,Chile,Median,"3,1385","3,0131","2,8972","2,7896","2,6895","2,5956","2,5058","2,4174","2,3318","2,2501","2,1729","2,1008","2,0335","1,9702","1,9111","1,8563","1,8052","1,7585","1,716","1,6777","2,0779","1,6133","1,5875","1,5642","1,5429","1,5216","1,4977","1,4701","1,4412","1,4088"
106,CHN,China,Median,"7,0806","6,7165","6,3746","6,0484","5,7421","5,4462","5,1662","4,9001","4,6438","4,4048","4,1776","3,9631","3,7602","3,5695","3,3913","3,2262","3,0743","2,9366","3,7856","2,6898","2,5738","2,4657","2,3682","2,2817","2,2066","2,137","2,07","2,0084","1,9495","1,8948"
109,COL,Colombia,Median,"4,7086","4,5224","4,346","4,178","4,0251","3,8923","3,7867","3,7047","3,6392","3,5839","3,5282","3,4627","3,3884","3,3108","3,2336","3,1578","3,085","3,0147","2,9457","2,8774","2,8104","2,7447","2,6834","2,6304","2,5878","2,5544","2,5289","2,5091","2,4934","2,479"
112,COM,Comoros,Median,"16,5284","16,1301","15,7399","15,3639","14,982","14,6399","14,3129","13,9811","13,6943","13,4069","13,1157","12,8545","12,5991","12,3703","12,1629","11,9697","11,7637","11,5458","11,3049","11,0471","10,7845","10,4922","10,2247","9,947","9,6921","9,4405","9,1747","8,9421","8,6851","8,4244"
115,COG,Congo,Median,"30,009","28,5961","27,2746","26,0834","24,9501","23,8647","22,8605","58,4015","33,0727","20,0373","19,1833","18,3199","17,4739","16,6237","15,7794","15,005","14,2421","13,5256","12,8448","12,1817","11,551","10,9557","10,4008","9,9128","9,5033","9,1215","8,795","8,5011","8,2216","7,9403"
118,COK,Cook Islands,Median,"5,109","5,0887","5,0621","5,025","4,9614","4,8601","4,7264","4,5662","4,3885","4,2132","4,0537","3,9004","3,7549","3,6087","3,4624","3,3177","3,1739","3,0367","2,9072","2,7847","2,6752","2,58","2,4941","2,4181","2,3449","2,2777","2,2111","2,1509","2,0963","2,0427"
121,CRI,Costa Rica,Median,"2,9117","2,86","2,8101","2,7613","2,713","2,6648","2,6168","2,5691","2,5217","2,4742","2,4277","2,3826","2,3384","2,2953","2,2532","2,212","2,1714","2,1312","2,0919","2,0529","2,0144","1,9761","1,9388","1,9026","1,8671","1,8326","1,7991","1,7664","1,7339","1,7017"
124,CIV,Cote d'Ivoire,Median,"28,3177","27,9891","27,6632","27,3247","26,9905","26,6639","26,3567","26,0233","25,7558","25,5047","25,2932","25,0952","24,9956","24,9307","24,8921","24,9149","24,9978","25,1088","25,2592","25,4701","25,6532","25,8067","25,9137","25,9925","26,0269","25,9909","25,8041","25,5577","25,1483","24,6963"
127,HRV,Croatia,Median,"2,6747","4,4542","3,9976","3,0376","2,1752","3,1434","1,9765","1,8875","1,8045","1,7278","1,6581","1,5934","1,5343","1,4808","1,4324","1,3881","1,3484","1,313","1,2813","1,2516","1,2248","1,1996","1,1777","1,1589","1,1408","1,1241","1,1077","1,092","1,0764","1,0589"
130,CUB,Cuba,Median,"3,8985","3,8031","3,7108","3,6153","3,5138","3,4057","3,2905","3,1694","3,0447","2,9161","2,7851","2,6483","2,5141","2,392","2,2854","2,1958","2,1246","2,0693","2,0287","2,0006","1,9818","1,9698","1,9652","1,9643","1,968","1,973","1,9793","1,9848","1,9902","1,9948"
133,CYP,Cyprus,Median,"1,7773","1,7843","1,794","1,8067","1,8237","1,8449","1,8672","1,893","1,918","1,9407","1,9574","1,9641","1,9577","1,9369","1,9002","1,8482","1,7836","1,71","1,6292","1,5459","1,4641","1,3839","1,3064","1,232","1,1608","1,0931","1,0311","0,9753","0,9274","0,8863"
136,CZE,Czechia,Median,"2,4032","2,3536","2,3067","2,2568","2,201","2,1357","2,0616","1,9811","1,8961","1,812","1,7314","1,6542","1,5804","1,5117","1,4477","1,3866","1,3296","1,2741","1,2211","1,1703","1,1221","1,0769","1,0343","0,9958","0,9625","0,9339","0,9092","0,8895","0,8727","0,8562"
139,PRK,Democratic People's Republic of Korea,Median,"8,1676","8,9393","9,838","10,7583","11,6454","12,3401","12,7308","12,7308","12,3537","11,6042","10,5759","9,4493","8,3622","7,4846","6,8796","6,5641","6,4687","6,4368","6,3729","6,2447","6,0024","5,7083","5,377","5,0913","4,8186","4,5942","4,4021","4,2256","4,083","3,9211"
142,COD,Democratic Republic of the Congo,Median,"37,2172","36,5695","35,9661","35,3269","34,7242","34,1193","33,5243","32,9511","32,3824","31,8136","31,3068","30,7642","30,2663","29,7459","29,2479","28,7958","28,3097","27,8343","27,373","26,9105","26,4468","25,9693","25,5319","25,0873","24,6494","24,1829","23,7036","23,2064","22,6481","22,1218"
145,DNK,Denmark,Median,"1,9622","1,8899","1,8212","1,7549","1,6892","1,6258","1,5634","1,5032","1,4442","1,3869","1,3303","1,2746","1,2194","1,166","1,1136","1,0628","1,0141","0,9676","0,9236","0,8823","0,8429","0,8057","0,7709","0,7388","0,7088","0,681","0,6551","0,6305","0,6072","0,5839"
148,DJI,Djibouti,Median,"25,5268","25,0804","24,6821","24,355","24,0922","23,8252","23,5367","23,2129","22,88","22,4761","22,0221","21,5436","21,0299","20,4922","19,9622","19,4251","18,8902","18,3603","17,8436","17,3336","16,8357","16,3442","15,852","15,3943","14,9471","14,4755","14,035","13,6177","13,199","12,8059"
151,DMA,Dominica,Median,"3,7468","3,7049","3,6647","3,6261","3,5893","3,5605","3,5318","3,502","3,4782","3,4517","3,432","3,4167","3,4033","3,3921","3,3835","3,3811","3,3775","3,3745","3,3746","3,3744","3,373","3,378","3,3832","3,3896","3,398","3,3893","3,3693","3,3285","3,2768","3,2159"
154,DOM,Dominican Republic,Median,"7,0869","6,8017","6,5374","6,2916","6,058","5,8451","5,6426","5,4474","5,2728","5,1071","4,9544","4,8035","4,6607","4,5222","4,8471","4,2582","4,1369","4,0256","3,9097","3,7921","3,6775","3,5652","3,4662","3,3666","3,2679","3,1789","3,0889","3,0034","2,9146","2,8298"
157,ECU,Ecuador,Median,"7,254","6,9311","6,6122","6,301","6,0103","5,7602","5,5599","5,4021","5,2763","5,1729","5,0818","4,9954","4,9112","4,8292","4,7484","4,6704","4,5936","4,5119","4,4221","4,3233","4,2168","4,1157","4,0031","3,8919","3,7881","3,6894","3,5871","3,4907","3,3966","3,2937"
160,EGY,Egypt,Median,"10,8134","9,9241","9,1451","8,498","7,981","7,5531","7,1771","6,8282","6,4869","6,1476","5,8256","5,5314","5,2841","5,0976","4,9844","4,9467","4,9867","5,0774","5,1738","5,2403","5,2619","5,2314","5,151","5,0332","4,891","4,7429","4,6055","4,4841","4,3834","4,2993"
163,SLV,El Salvador,Median,"7,7839","6,0369","5,5936","5,2295","4,9308","4,6782","4,4599","4,265","4,0863","3,9231","3,7795","5,2658","3,5513","3,466","3,3977","3,3431","3,2987","3,2599","3,2243","3,1906","3,1591","3,1329","3,1183","3,1205","3,1379","3,1668","3,2001","3,2227","3,2229","3,2014"
166,GNQ,Equatorial Guinea,Median,"34,7426","34,506","34,2617","34,0121","33,7843","33,5035","33,157","32,7088","32,1131","31,4223","30,6298","29,821","28,9626","28,1289","27,247","26,3788","25,4994","24,5706","23,6844","22,8123","22,0094","21,2799","20,5733","19,8818","19,2468","18,5838","17,966","17,3566","16,7707","16,2227"
169,ERI,Eritrea,Median,"41,3873","38,4669","35,7269","33,1132","30,6965","28,4259","26,343","24,432","22,6872","21,0497","19,5837","18,2367","16,9912","15,848","14,8423","13,9282","13,0965","12,3729","11,6756","11,0405","10,4785","10,002","9,5769","9,2153","8,8654","8,5697","8,2686","8,0005","7,7458","7,4899"
172,EST,Estonia,Median,"5,0749","4,8732","4,6733","4,4798","4,2851","4,0887","3,8895","3,6935","3,497","3,3047","3,1188","2,9412","2,7709","2,6107","2,4595","2,3207","2,1917","2,0718","1,9604","1,8582","1,7627","1,673","1,5889","1,5086","1,4337","1,3639","1,2969","1,2317","1,1707","1,1153"
175,SWZ,Eswatini,Median,"10,5737","10,7547","10,9451","11,1359","11,3356","11,541","11,7566","12,027","12,2904","12,5875","12,8469","13,115","13,3707","13,6154","13,826","14,0347","14,223","14,3627","14,4959","14,6343","14,7533","14,8552","14,9239","14,905","14,7741","14,5821","14,3406","14,0711","13,7548","13,4154"
178,ETH,Ethiopia,Median,"79,3146","69,7561","66,3425","62,95","59,6722","56,5521","53,4526","50,4324","47,6129","44,8597","42,2576","39,7455","37,313","34,9332","32,6217","30,3048","28,0333","25,8705","23,8208","21,8947","20,0838","18,4604","16,9415","15,5651","14,3181","13,2655","12,4191","11,7403","11,1645","10,6524"
181,FJI,Fiji,Median,"11,3106","11,0612","10,7995","10,5224","10,2123","9,8808","9,543","9,1801","8,8131","8,4257","8,0351","7,6485","7,2729","6,9194","6,5909","6,2956","6,0347","5,8057","5,6078","5,4411","5,2996","5,1871","5,0982","5,0299","4,9757","4,9371","4,9058","4,8732","4,8323","4,771"
184,FIN,Finland,Median,"1,9154","1,8611","1,8099","1,7601","1,7103","1,6612","1,6132","1,5648","1,5173","1,47","1,4234","1,3782","1,3336","1,2897","1,2464","1,2042","1,1622","1,1213","1,0812","1,0422","1,0043","0,9679","0,9328","0,8992","0,8667","0,8355","0,8059","0,7768","0,749","0,7227"
187,FRA,France,Median,"1,9909","1,9168","1,8484","1,7845","1,7209","1,6575","1,5956","1,5388","1,4876","1,4389","1,3891","1,3349","1,2744","1,2089","1,1448","1,087","1,037","0,9958","0,9636","0,9375","0,9141","0,8923","0,8704","0,8483","0,8262","0,8058","0,7874","0,7709","0,7559","0,7411"
190,GAB,Gabon,Median,"18,2316","18,1567","18,0609","17,9547","17,9006","17,8073","17,737","17,6471","17,5709","17,5173","17,4283","17,3251","17,2428","17,122","17,0423","16,9377","16,8128","16,6497","16,3968","16,1001","15,7721","15,381","14,9874","14,6064","14,2344","13,8185","13,4206","13,0805","12,6916","12,3384"
193,GMB,Gambia,Median,"32,7344","31,627","30,5355","29,4373","28,3375","27,2445","26,1539","25,1139","24,086","23,1114","22,1601","21,249","20,3535","19,487","18,6451","17,8467","17,0908","16,3704","15,6939","15,0717","14,4746","13,9117","13,3805","12,8808","12,4004","11,9569","11,525","11,1093","10,7058","10,3278"
196,GEO,Georgia,Median,"3,8346","4,2449","4,0186","4,7046","2,928","2,7645","2,6267","2,5128","2,4235","2,356","2,3098","2,2838","2,2745","2,2797","2,2957","2,3205","2,3546","2,3934","2,856","2,4792","2,5162","2,545","2,5644","2,5714","2,5675","2,5515","2,5244","2,4941","2,4573","2,4167"
199,DEU,Germany,Median,"1,9458","1,8598","1,7719","1,6835","1,5976","1,5177","1,4453","1,3825","1,3291","1,2827","1,2409","1,2015","1,163","1,1247","1,0867","1,05","1,0146","0,9824","0,9538","0,9284","0,9049","0,8837","0,8644","0,8476","0,8339","0,8234","0,8157","0,8102","0,8048","0,7979"
202,GHA,Ghana,Median,"25,1908","24,5379","23,8894","23,2648","22,6507","22,057","21,4573","20,8585","20,2612","19,6792","19,0989","18,5322","17,9684","17,4059","16,8544","16,3052","15,7821","15,2867","14,8081","14,3415","13,913","13,4907","13,0875","12,7007","12,3331","11,9916","11,6461","11,3215","10,9965","10,6905"
205,GRC,Greece,Median,"1,9","1,8458","1,7945","1,7464","1,7005","1,6566","1,614","1,5724","1,5317","1,7337","1,4537","1,4162","1,38","1,345","1,3105","1,2764","1,2426","1,2092","1,1767","1,1445","1,1127","1,0817","1,052","1,0234","0,996","0,9704","0,9461","0,923","0,8995","0,8764"
208,GRD,Grenada,Median,"4,5745","4,4621","4,3569","4,26","4,171","4,0878","4,0158","3,9472","3,8912","3,8439","3,804","3,7747","3,7512","3,7339","3,723","3,7175","3,7162","3,716","3,7204","3,7276","3,7375","3,751","3,7635","3,7819","3,7924","3,8043","3,8145","3,8264","3,8254","3,8075"
211,GTM,Guatemala,Median,"12,5985","11,6471","10,6823","9,7869","9,0176","8,3854","7,8854","7,4969","7,1662","6,8522","6,5473","6,2573","5,9894","5,7528","5,5515","6,0462","5,2043","5,0325","4,8597","4,6871","4,5247","4,385","4,2709","4,1767","4,0945","4,0178","3,9368","3,8486","3,7579","3,6653"
214,GIN,Guinea,Median,"43,6673","42,2727","40,9204","39,6122","38,3205","37,0787","35,902","34,7678","33,6852","32,6542","31,6542","30,6765","29,7454","28,8485","27,9932","27,171","26,3732","25,6368","24,9444","24,2866","23,6782","23,0864","22,5054","21,9424","21,4159","20,8734","20,3287","19,8042","19,288","18,7772"
217,GNB,Guinea-Bissau,Median,"42,0095","40,813","39,4238","38,0948","36,8658","35,6143","34,4196","33,3201","37,1704","31,2887","30,3705","29,4512","28,7126","27,9728","27,3058","26,6079","25,8798","25,0982","24,2582","23,2915","22,2777","21,2758","20,2437","19,3435","18,5306","17,8162","17,2328","16,6497","16,045","15,5331"
220,GUY,Guyana,Median,"5,3536","5,1383","4,9549","4,8071","4,69","4,6028","4,5436","4,504","4,4764","4,4593","4,4498","4,4491","4,4542","4,4707","4,496","4,5326","4,5771","4,6301","4,6881","4,7486","4,8105","4,8719","4,9317","4,9908","5,0388","5,0672","5,0598","5,0208","4,9543","4,8621"
223,HTI,Haiti,Median,"27,8517","27,0609","26,3013","25,5338","24,7758","24,0225","23,2434","22,4888","21,7413","21,0132","20,2831","19,58","18,9039","18,2569","21,0724","17,0353","16,4566","15,905","15,3743","14,8692","159,2376","13,9198","13,4792","13,0653","12,632","12,2459","11,8848","11,5318","11,1728","10,8533"
226,HND,Honduras,Median,"8,5753","8,2329","7,8649","7,5105","7,1864","6,8846","6,6195","6,3889","18,4302","6,0082","5,8558","5,7323","5,6135","5,503","5,4047","5,3158","5,2246","5,1479","5,0925","5,0485","5,0222","5,0148","5,0066","4,9854","4,9336","4,8585","4,7567","4,6498","4,5376","4,4313"
229,HUN,Hungary,Median,"2,652","2,5556","2,4633","2,376","2,2941","2,2159","2,1418","2,0713","2,0033","1,938","1,8747","1,8131","1,7529","1,6941","1,6366","1,5803","1,5255","1,4721","1,4198","1,3693","1,3204","1,2732","1,228","1,1849","1,1438","1,1037","1,0655","1,0282","0,9926","0,9585"
232,ISL,Iceland,Median,"2,7882","2,6221","2,4637","2,3127","2,173","2,0413","1,9189","1,8056","1,6988","1,598","1,5043","1,4159","1,3337","1,2576","1,1843","1,1169","1,0516","0,9895","0,9301","0,8735","0,8224","0,7727","0,7254","0,6815","0,6383","0,5988","0,562","0,5285","0,4998","0,475"
235,IND,India,Median,"20,6693","20,0703","19,4626","18,8582","18,2649","17,675","17,081","16,4894","15,9016","15,3135","14,7245","14,1292","13,5422","12,9537","12,3715","11,7968","11,2292","10,6643","10,1085","9,5598","9,0264","8,5071","8,0061","7,5299","7,084","6,6707","6,306","5,9945","5,7244","5,4902"
238,IDN,Indonesia,Median,"13,7659","13,258","12,7659","12,2993","11,843","11,4137","11,0067","10,6131","10,2312","9,8546","9,4903","9,1451","8,8064","8,4786","15,4015","7,8817","7,6075","7,3434","7,0999","6,8775","6,6668","6,4729","6,2874","6,1127","5,9403","5,772","5,6086","5,449","5,3005","5,137"
241,IRN,Iran (Islamic Republic of),Median,"13,6678","8,2929","7,8051","7,3678","6,9865","6,6505","6,3595","6,1047","5,8958","5,7204","5,5837","5,481","5,4115","9,0847","5,3754","5,4081","5,469","5,5449","5,5925","5,5659","5,4501","5,2518","4,9914","4,7076","4,4311","4,1795","3,9579","3,7683","3,604","3,4601"
244,IRQ,Iraq,Median,"10,2293","17,5721","9,2465","8,7938","8,336","8,5881","7,4992","7,098","6,7282","6,3757","6,0324","5,7309","5,4687","16,6824","14,8991","16,2624","22,6265","19,3075","10,1235","7,1988","6,3489","6,1483","6,1681","8,4413","12,8358","11,2288","12,3305","9,3313","4,2695","3,7884"
247,IRL,Ireland,Median,"1,9317","1,8783","1,828","1,7805","1,7347","1,6904","1,6472","1,6045","1,561","1,5158","1,4692","1,4201","1,37","1,3185","1,2663","1,2135","1,1604","1,1086","1,0573","1,0066","0,9578","0,9113","0,8662","0,8231","0,7811","0,7406","0,7022","0,6669","0,6352","0,6069"
